Container stores 10000 shapes:
Parallelepiped: a = 9, b = 1, c = 6; Density = 1; SurfaceArea = 138.0
Parallelepiped: a = 22, b = 12, c = 16; Density = 28; SurfaceArea = 1616.0
Parallelepiped: a = 12, b = 22, c = 18; Density = 29; SurfaceArea = 1752.0
Sphere: r = 27; Density = 16; SurfaceArea = 9160.884177867836
Sphere: r = 23; Density = 28; SurfaceArea = 6647.610054996002
Sphere: r = 14; Density = 20; SurfaceArea = 2463.0086404143976
Sphere: r = 27; Density = 4; SurfaceArea = 9160.884177867836
Sphere: r = 25; Density = 12; SurfaceArea = 7853.981633974483
Sphere: r = 25; Density = 10; SurfaceArea = 7853.981633974483
Sphere: r = 19; Density = 29; SurfaceArea = 4536.459791783661
Tetrahedron: a = 23; Density = 26; SurfaceArea = 916.2548772039361
Parallelepiped: a = 5, b = 1, c = 8; Density = 24; SurfaceArea = 106.0
Parallelepiped: a = 30, b = 1, c = 10; Density = 10; SurfaceArea = 680.0
Tetrahedron: a = 12; Density = 9; SurfaceArea = 249.4153162899183
Tetrahedron: a = 24; Density = 24; SurfaceArea = 997.6612651596732
Parallelepiped: a = 7, b = 29, c = 1; Density = 8; SurfaceArea = 478.0
Parallelepiped: a = 27, b = 20, c = 10; Density = 14; SurfaceArea = 2020.0
Tetrahedron: a = 30; Density = 27; SurfaceArea = 1558.8457268119894
Parallelepiped: a = 9, b = 19, c = 7; Density = 1; SurfaceArea = 734.0
Sphere: r = 23; Density = 9; SurfaceArea = 6647.610054996002
Sphere: r = 23; Density = 23; SurfaceArea = 6647.610054996002
Sphere: r = 4; Density = 18; SurfaceArea = 201.06192982974676
Sphere: r = 20; Density = 29; SurfaceArea = 5026.548245743669
Sphere: r = 2; Density = 6; SurfaceArea = 50.26548245743669
Sphere: r = 18; Density = 4; SurfaceArea = 4071.5040790523717
Sphere: r = 7; Density = 11; SurfaceArea = 615.7521601035994
Sphere: r = 17; Density = 7; SurfaceArea = 3631.681107549801
Tetrahedron: a = 13; Density = 13; SurfaceArea = 292.71658647914023
Tetrahedron: a = 13; Density = 5; SurfaceArea = 292.71658647914023
Tetrahedron: a = 16; Density = 4; SurfaceArea = 443.40500673763256
Sphere: r = 2; Density = 18; SurfaceArea = 50.26548245743669
Sphere: r = 16; Density = 26; SurfaceArea = 3216.990877275948
Parallelepiped: a = 4, b = 11, c = 3; Density = 4; SurfaceArea = 178.0
Parallelepiped: a = 4, b = 1, c = 21; Density = 6; SurfaceArea = 218.0
Tetrahedron: a = 27; Density = 24; SurfaceArea = 1262.6650387177115
Parallelepiped: a = 30, b = 15, c = 9; Density = 21; SurfaceArea = 1710.0
Tetrahedron: a = 9; Density = 4; SurfaceArea = 140.29611541307906
Tetrahedron: a = 16; Density = 29; SurfaceArea = 443.40500673763256
Parallelepiped: a = 16, b = 25, c = 9; Density = 1; SurfaceArea = 1538.0
Sphere: r = 12; Density = 30; SurfaceArea = 1809.5573684677208
Parallelepiped: a = 12, b = 20, c = 8; Density = 2; SurfaceArea = 992.0
Tetrahedron: a = 24; Density = 22; SurfaceArea = 997.6612651596732
Sphere: r = 16; Density = 2; SurfaceArea = 3216.990877275948
Tetrahedron: a = 18; Density = 29; SurfaceArea = 561.1844616523163
Sphere: r = 4; Density = 29; SurfaceArea = 201.06192982974676
Parallelepiped: a = 9, b = 17, c = 6; Density = 23; SurfaceArea = 618.0
Sphere: r = 23; Density = 10; SurfaceArea = 6647.610054996002
Sphere: r = 23; Density = 30; SurfaceArea = 6647.610054996002
Sphere: r = 11; Density = 14; SurfaceArea = 1520.53084433746
Sphere: r = 20; Density = 25; SurfaceArea = 5026.548245743669
Sphere: r = 7; Density = 22; SurfaceArea = 615.7521601035994
Tetrahedron: a = 11; Density = 20; SurfaceArea = 209.57814771583415
Parallelepiped: a = 6, b = 25, c = 21; Density = 22; SurfaceArea = 1602.0
Sphere: r = 19; Density = 20; SurfaceArea = 4536.459791783661
Sphere: r = 12; Density = 25; SurfaceArea = 1809.5573684677208
Sphere: r = 23; Density = 12; SurfaceArea = 6647.610054996002
Parallelepiped: a = 13, b = 7, c = 8; Density = 12; SurfaceArea = 502.0
Parallelepiped: a = 17, b = 2, c = 4; Density = 10; SurfaceArea = 220.0
Tetrahedron: a = 21; Density = 12; SurfaceArea = 763.8344061378748
Tetrahedron: a = 22; Density = 25; SurfaceArea = 838.3125908633366
Sphere: r = 18; Density = 27; SurfaceArea = 4071.5040790523717
Sphere: r = 8; Density = 28; SurfaceArea = 804.247719318987
Sphere: r = 13; Density = 7; SurfaceArea = 2123.7166338267
Parallelepiped: a = 15, b = 22, c = 25; Density = 5; SurfaceArea = 2510.0
Sphere: r = 19; Density = 19; SurfaceArea = 4536.459791783661
Parallelepiped: a = 10, b = 27, c = 11; Density = 15; SurfaceArea = 1354.0
Sphere: r = 10; Density = 9; SurfaceArea = 1256.6370614359173
Parallelepiped: a = 26, b = 18, c = 29; Density = 1; SurfaceArea = 3488.0
Sphere: r = 10; Density = 28; SurfaceArea = 1256.6370614359173
Sphere: r = 4; Density = 4; SurfaceArea = 201.06192982974676
Parallelepiped: a = 27, b = 26, c = 1; Density = 1; SurfaceArea = 1510.0
Tetrahedron: a = 1; Density = 7; SurfaceArea = 1.7320508075688772
Tetrahedron: a = 30; Density = 1; SurfaceArea = 1558.8457268119894
Parallelepiped: a = 17, b = 7, c = 28; Density = 10; SurfaceArea = 1582.0
Sphere: r = 11; Density = 3; SurfaceArea = 1520.53084433746
Sphere: r = 4; Density = 11; SurfaceArea = 201.06192982974676
Tetrahedron: a = 16; Density = 6; SurfaceArea = 443.40500673763256
Sphere: r = 23; Density = 25; SurfaceArea = 6647.610054996002
Sphere: r = 26; Density = 9; SurfaceArea = 8494.8665353068
Sphere: r = 3; Density = 5; SurfaceArea = 113.09733552923255
Sphere: r = 1; Density = 15; SurfaceArea = 12.566370614359172
Sphere: r = 19; Density = 29; SurfaceArea = 4536.459791783661
Parallelepiped: a = 12, b = 30, c = 13; Density = 17; SurfaceArea = 1812.0
Tetrahedron: a = 25; Density = 9; SurfaceArea = 1082.5317547305483
Tetrahedron: a = 29; Density = 27; SurfaceArea = 1456.6547291654258
Sphere: r = 30; Density = 21; SurfaceArea = 11309.733552923255
Parallelepiped: a = 3, b = 18, c = 3; Density = 24; SurfaceArea = 234.0
Tetrahedron: a = 7; Density = 24; SurfaceArea = 84.87048957087498
Sphere: r = 12; Density = 27; SurfaceArea = 1809.5573684677208
Sphere: r = 26; Density = 4; SurfaceArea = 8494.8665353068
Sphere: r = 18; Density = 26; SurfaceArea = 4071.5040790523717
Parallelepiped: a = 24, b = 21, c = 23; Density = 25; SurfaceArea = 3078.0
Sphere: r = 26; Density = 25; SurfaceArea = 8494.8665353068
Tetrahedron: a = 20; Density = 18; SurfaceArea = 692.8203230275509
Tetrahedron: a = 1; Density = 21; SurfaceArea = 1.7320508075688772
Tetrahedron: a = 2; Density = 9; SurfaceArea = 6.928203230275509
Sphere: r = 16; Density = 10; SurfaceArea = 3216.990877275948
Tetrahedron: a = 14; Density = 3; SurfaceArea = 339.4819582834999
Sphere: r = 27; Density = 12; SurfaceArea = 9160.884177867836
Tetrahedron: a = 27; Density = 11; SurfaceArea = 1262.6650387177115
Tetrahedron: a = 12; Density = 23; SurfaceArea = 249.4153162899183
Tetrahedron: a = 1; Density = 9; SurfaceArea = 1.7320508075688772
Parallelepiped: a = 10, b = 14, c = 6; Density = 22; SurfaceArea = 568.0
Parallelepiped: a = 24, b = 21, c = 12; Density = 8; SurfaceArea = 2088.0
Tetrahedron: a = 9; Density = 22; SurfaceArea = 140.29611541307906
Parallelepiped: a = 8, b = 2, c = 4; Density = 28; SurfaceArea = 112.0
Parallelepiped: a = 24, b = 29, c = 8; Density = 6; SurfaceArea = 2240.0
Tetrahedron: a = 10; Density = 19; SurfaceArea = 173.20508075688772
Parallelepiped: a = 5, b = 21, c = 14; Density = 7; SurfaceArea = 938.0
Parallelepiped: a = 21, b = 1, c = 16; Density = 19; SurfaceArea = 746.0
Sphere: r = 29; Density = 14; SurfaceArea = 10568.317686676064
Sphere: r = 19; Density = 3; SurfaceArea = 4536.459791783661
Sphere: r = 15; Density = 18; SurfaceArea = 2827.4333882308138
Sphere: r = 27; Density = 28; SurfaceArea = 9160.884177867836
Sphere: r = 10; Density = 15; SurfaceArea = 1256.6370614359173
Sphere: r = 3; Density = 29; SurfaceArea = 113.09733552923255
Parallelepiped: a = 20, b = 17, c = 5; Density = 13; SurfaceArea = 1050.0
Sphere: r = 25; Density = 2; SurfaceArea = 7853.981633974483
Parallelepiped: a = 3, b = 9, c = 9; Density = 2; SurfaceArea = 270.0
Tetrahedron: a = 13; Density = 19; SurfaceArea = 292.71658647914023
Tetrahedron: a = 5; Density = 28; SurfaceArea = 43.30127018922193
Sphere: r = 1; Density = 9; SurfaceArea = 12.566370614359172
Sphere: r = 5; Density = 23; SurfaceArea = 314.1592653589793
Tetrahedron: a = 30; Density = 6; SurfaceArea = 1558.8457268119894
Parallelepiped: a = 1, b = 21, c = 13; Density = 11; SurfaceArea = 614.0
Sphere: r = 20; Density = 19; SurfaceArea = 5026.548245743669
Sphere: r = 14; Density = 26; SurfaceArea = 2463.0086404143976
Sphere: r = 26; Density = 20; SurfaceArea = 8494.8665353068
Sphere: r = 3; Density = 4; SurfaceArea = 113.09733552923255
Sphere: r = 18; Density = 21; SurfaceArea = 4071.5040790523717
Sphere: r = 3; Density = 23; SurfaceArea = 113.09733552923255
Tetrahedron: a = 1; Density = 5; SurfaceArea = 1.7320508075688772
Parallelepiped: a = 5, b = 22, c = 18; Density = 19; SurfaceArea = 1192.0
Parallelepiped: a = 25, b = 19, c = 29; Density = 3; SurfaceArea = 3502.0
Tetrahedron: a = 1; Density = 18; SurfaceArea = 1.7320508075688772
Sphere: r = 1; Density = 6; SurfaceArea = 12.566370614359172
Parallelepiped: a = 27, b = 22, c = 11; Density = 27; SurfaceArea = 2266.0
Parallelepiped: a = 8, b = 18, c = 15; Density = 24; SurfaceArea = 1068.0
Tetrahedron: a = 11; Density = 3; SurfaceArea = 209.57814771583415
Tetrahedron: a = 13; Density = 27; SurfaceArea = 292.71658647914023
Tetrahedron: a = 22; Density = 5; SurfaceArea = 838.3125908633366
Parallelepiped: a = 25, b = 5, c = 15; Density = 13; SurfaceArea = 1150.0
Sphere: r = 15; Density = 26; SurfaceArea = 2827.4333882308138
Sphere: r = 25; Density = 6; SurfaceArea = 7853.981633974483
Sphere: r = 19; Density = 22; SurfaceArea = 4536.459791783661
Tetrahedron: a = 28; Density = 17; SurfaceArea = 1357.9278331339997
Sphere: r = 14; Density = 19; SurfaceArea = 2463.0086404143976
Sphere: r = 23; Density = 5; SurfaceArea = 6647.610054996002
Tetrahedron: a = 18; Density = 22; SurfaceArea = 561.1844616523163
Parallelepiped: a = 13, b = 15, c = 8; Density = 3; SurfaceArea = 838.0
Parallelepiped: a = 18, b = 20, c = 10; Density = 22; SurfaceArea = 1480.0
Sphere: r = 3; Density = 30; SurfaceArea = 113.09733552923255
Tetrahedron: a = 28; Density = 27; SurfaceArea = 1357.9278331339997
Sphere: r = 6; Density = 11; SurfaceArea = 452.3893421169302
Parallelepiped: a = 4, b = 12, c = 10; Density = 17; SurfaceArea = 416.0
Parallelepiped: a = 1, b = 7, c = 8; Density = 17; SurfaceArea = 142.0
Parallelepiped: a = 16, b = 21, c = 21; Density = 18; SurfaceArea = 2226.0
Parallelepiped: a = 30, b = 7, c = 27; Density = 7; SurfaceArea = 2418.0
Parallelepiped: a = 14, b = 2, c = 25; Density = 29; SurfaceArea = 856.0
Parallelepiped: a = 14, b = 4, c = 1; Density = 21; SurfaceArea = 148.0
Sphere: r = 24; Density = 3; SurfaceArea = 7238.229473870883
Sphere: r = 26; Density = 17; SurfaceArea = 8494.8665353068
Parallelepiped: a = 21, b = 30, c = 22; Density = 26; SurfaceArea = 3504.0
Sphere: r = 12; Density = 3; SurfaceArea = 1809.5573684677208
Sphere: r = 18; Density = 7; SurfaceArea = 4071.5040790523717
Parallelepiped: a = 18, b = 7, c = 29; Density = 11; SurfaceArea = 1702.0
Parallelepiped: a = 19, b = 20, c = 1; Density = 17; SurfaceArea = 838.0
Parallelepiped: a = 7, b = 3, c = 10; Density = 9; SurfaceArea = 242.0
Tetrahedron: a = 28; Density = 16; SurfaceArea = 1357.9278331339997
Sphere: r = 23; Density = 13; SurfaceArea = 6647.610054996002
Sphere: r = 19; Density = 11; SurfaceArea = 4536.459791783661
Parallelepiped: a = 23, b = 3, c = 17; Density = 17; SurfaceArea = 1022.0
Tetrahedron: a = 9; Density = 25; SurfaceArea = 140.29611541307906
Parallelepiped: a = 6, b = 4, c = 20; Density = 2; SurfaceArea = 448.0
Parallelepiped: a = 22, b = 30, c = 21; Density = 8; SurfaceArea = 3504.0
Sphere: r = 15; Density = 8; SurfaceArea = 2827.4333882308138
Sphere: r = 23; Density = 27; SurfaceArea = 6647.610054996002
Sphere: r = 19; Density = 7; SurfaceArea = 4536.459791783661
Tetrahedron: a = 28; Density = 2; SurfaceArea = 1357.9278331339997
Tetrahedron: a = 5; Density = 2; SurfaceArea = 43.30127018922193
Parallelepiped: a = 10, b = 25, c = 29; Density = 3; SurfaceArea = 2530.0
Tetrahedron: a = 18; Density = 22; SurfaceArea = 561.1844616523163
Sphere: r = 9; Density = 4; SurfaceArea = 1017.8760197630929
Sphere: r = 19; Density = 30; SurfaceArea = 4536.459791783661
Tetrahedron: a = 20; Density = 23; SurfaceArea = 692.8203230275509
Sphere: r = 16; Density = 18; SurfaceArea = 3216.990877275948
Tetrahedron: a = 6; Density = 19; SurfaceArea = 62.35382907247958
Sphere: r = 3; Density = 19; SurfaceArea = 113.09733552923255
Sphere: r = 25; Density = 14; SurfaceArea = 7853.981633974483
Sphere: r = 30; Density = 15; SurfaceArea = 11309.733552923255
Sphere: r = 8; Density = 8; SurfaceArea = 804.247719318987
Tetrahedron: a = 4; Density = 7; SurfaceArea = 27.712812921102035
Parallelepiped: a = 27, b = 20, c = 24; Density = 27; SurfaceArea = 3336.0
Sphere: r = 27; Density = 6; SurfaceArea = 9160.884177867836
Sphere: r = 6; Density = 5; SurfaceArea = 452.3893421169302
Sphere: r = 5; Density = 10; SurfaceArea = 314.1592653589793
Parallelepiped: a = 7, b = 20, c = 4; Density = 20; SurfaceArea = 496.0
Tetrahedron: a = 30; Density = 30; SurfaceArea = 1558.8457268119894
Sphere: r = 22; Density = 8; SurfaceArea = 6082.12337734984
Tetrahedron: a = 23; Density = 24; SurfaceArea = 916.2548772039361
Tetrahedron: a = 8; Density = 4; SurfaceArea = 110.85125168440814
Tetrahedron: a = 30; Density = 21; SurfaceArea = 1558.8457268119894
Tetrahedron: a = 12; Density = 13; SurfaceArea = 249.4153162899183
Tetrahedron: a = 9; Density = 1; SurfaceArea = 140.29611541307906
Parallelepiped: a = 27, b = 2, c = 29; Density = 26; SurfaceArea = 1790.0
Sphere: r = 16; Density = 12; SurfaceArea = 3216.990877275948
Sphere: r = 9; Density = 6; SurfaceArea = 1017.8760197630929
Sphere: r = 20; Density = 23; SurfaceArea = 5026.548245743669
Tetrahedron: a = 29; Density = 2; SurfaceArea = 1456.6547291654258
Parallelepiped: a = 15, b = 21, c = 12; Density = 22; SurfaceArea = 1494.0
Sphere: r = 8; Density = 25; SurfaceArea = 804.247719318987
Parallelepiped: a = 13, b = 4, c = 23; Density = 18; SurfaceArea = 886.0
Sphere: r = 21; Density = 9; SurfaceArea = 5541.769440932395
Sphere: r = 28; Density = 13; SurfaceArea = 9852.03456165759
Sphere: r = 10; Density = 26; SurfaceArea = 1256.6370614359173
Tetrahedron: a = 2; Density = 21; SurfaceArea = 6.928203230275509
Tetrahedron: a = 11; Density = 5; SurfaceArea = 209.57814771583415
Tetrahedron: a = 7; Density = 21; SurfaceArea = 84.87048957087498
Sphere: r = 19; Density = 2; SurfaceArea = 4536.459791783661
Tetrahedron: a = 17; Density = 12; SurfaceArea = 500.5626833874055
Parallelepiped: a = 29, b = 21, c = 15; Density = 4; SurfaceArea = 2718.0
Parallelepiped: a = 11, b = 1, c = 3; Density = 15; SurfaceArea = 94.0
Parallelepiped: a = 24, b = 28, c = 8; Density = 14; SurfaceArea = 2176.0
Parallelepiped: a = 26, b = 13, c = 17; Density = 12; SurfaceArea = 2002.0
Parallelepiped: a = 8, b = 23, c = 2; Density = 2; SurfaceArea = 492.0
Tetrahedron: a = 16; Density = 9; SurfaceArea = 443.40500673763256
Tetrahedron: a = 21; Density = 6; SurfaceArea = 763.8344061378748
Sphere: r = 15; Density = 17; SurfaceArea = 2827.4333882308138
Tetrahedron: a = 2; Density = 9; SurfaceArea = 6.928203230275509
Sphere: r = 8; Density = 16; SurfaceArea = 804.247719318987
Parallelepiped: a = 15, b = 18, c = 12; Density = 1; SurfaceArea = 1332.0
Sphere: r = 27; Density = 20; SurfaceArea = 9160.884177867836
Tetrahedron: a = 23; Density = 7; SurfaceArea = 916.2548772039361
Tetrahedron: a = 9; Density = 2; SurfaceArea = 140.29611541307906
Parallelepiped: a = 5, b = 9, c = 17; Density = 3; SurfaceArea = 566.0
Sphere: r = 8; Density = 1; SurfaceArea = 804.247719318987
Sphere: r = 26; Density = 30; SurfaceArea = 8494.8665353068
Tetrahedron: a = 11; Density = 5; SurfaceArea = 209.57814771583415
Sphere: r = 22; Density = 8; SurfaceArea = 6082.12337734984
Parallelepiped: a = 4, b = 4, c = 26; Density = 14; SurfaceArea = 448.0
Tetrahedron: a = 13; Density = 20; SurfaceArea = 292.71658647914023
Tetrahedron: a = 30; Density = 30; SurfaceArea = 1558.8457268119894
Sphere: r = 6; Density = 2; SurfaceArea = 452.3893421169302
Parallelepiped: a = 24, b = 3, c = 7; Density = 8; SurfaceArea = 522.0
Tetrahedron: a = 28; Density = 10; SurfaceArea = 1357.9278331339997
Sphere: r = 7; Density = 24; SurfaceArea = 615.7521601035994
Parallelepiped: a = 17, b = 3, c = 28; Density = 22; SurfaceArea = 1222.0
Sphere: r = 20; Density = 30; SurfaceArea = 5026.548245743669
Sphere: r = 17; Density = 5; SurfaceArea = 3631.681107549801
Tetrahedron: a = 14; Density = 30; SurfaceArea = 339.4819582834999
Sphere: r = 6; Density = 15; SurfaceArea = 452.3893421169302
Sphere: r = 3; Density = 9; SurfaceArea = 113.09733552923255
Parallelepiped: a = 19, b = 8, c = 9; Density = 20; SurfaceArea = 790.0
Parallelepiped: a = 15, b = 8, c = 13; Density = 22; SurfaceArea = 838.0
Tetrahedron: a = 13; Density = 25; SurfaceArea = 292.71658647914023
Parallelepiped: a = 2, b = 20, c = 19; Density = 24; SurfaceArea = 916.0
Tetrahedron: a = 29; Density = 19; SurfaceArea = 1456.6547291654258
Parallelepiped: a = 10, b = 24, c = 2; Density = 25; SurfaceArea = 616.0
Parallelepiped: a = 12, b = 14, c = 13; Density = 26; SurfaceArea = 1012.0
Parallelepiped: a = 18, b = 4, c = 18; Density = 20; SurfaceArea = 936.0
Tetrahedron: a = 10; Density = 25; SurfaceArea = 173.20508075688772
Tetrahedron: a = 16; Density = 19; SurfaceArea = 443.40500673763256
Tetrahedron: a = 2; Density = 11; SurfaceArea = 6.928203230275509
Sphere: r = 8; Density = 2; SurfaceArea = 804.247719318987
Sphere: r = 3; Density = 27; SurfaceArea = 113.09733552923255
Tetrahedron: a = 3; Density = 18; SurfaceArea = 15.588457268119894
Tetrahedron: a = 3; Density = 12; SurfaceArea = 15.588457268119894
Parallelepiped: a = 5, b = 17, c = 16; Density = 26; SurfaceArea = 874.0
Sphere: r = 20; Density = 6; SurfaceArea = 5026.548245743669
Parallelepiped: a = 7, b = 27, c = 20; Density = 23; SurfaceArea = 1738.0
Tetrahedron: a = 8; Density = 26; SurfaceArea = 110.85125168440814
Tetrahedron: a = 3; Density = 7; SurfaceArea = 15.588457268119894
Tetrahedron: a = 30; Density = 8; SurfaceArea = 1558.8457268119894
Parallelepiped: a = 6, b = 5, c = 26; Density = 15; SurfaceArea = 632.0
Tetrahedron: a = 11; Density = 1; SurfaceArea = 209.57814771583415
Parallelepiped: a = 7, b = 8, c = 18; Density = 17; SurfaceArea = 652.0
Parallelepiped: a = 5, b = 3, c = 20; Density = 23; SurfaceArea = 350.0
Parallelepiped: a = 27, b = 23, c = 5; Density = 13; SurfaceArea = 1742.0
Tetrahedron: a = 6; Density = 16; SurfaceArea = 62.35382907247958
Tetrahedron: a = 4; Density = 6; SurfaceArea = 27.712812921102035
Tetrahedron: a = 4; Density = 16; SurfaceArea = 27.712812921102035
Tetrahedron: a = 17; Density = 11; SurfaceArea = 500.5626833874055
Sphere: r = 14; Density = 14; SurfaceArea = 2463.0086404143976
Tetrahedron: a = 17; Density = 17; SurfaceArea = 500.5626833874055
Tetrahedron: a = 4; Density = 16; SurfaceArea = 27.712812921102035
Parallelepiped: a = 23, b = 28, c = 7; Density = 5; SurfaceArea = 2002.0
Sphere: r = 30; Density = 3; SurfaceArea = 11309.733552923255
Tetrahedron: a = 8; Density = 19; SurfaceArea = 110.85125168440814
Tetrahedron: a = 21; Density = 24; SurfaceArea = 763.8344061378748
Tetrahedron: a = 13; Density = 7; SurfaceArea = 292.71658647914023
Tetrahedron: a = 17; Density = 3; SurfaceArea = 500.5626833874055
Parallelepiped: a = 6, b = 4, c = 29; Density = 4; SurfaceArea = 628.0
Sphere: r = 11; Density = 6; SurfaceArea = 1520.53084433746
Parallelepiped: a = 16, b = 12, c = 20; Density = 12; SurfaceArea = 1504.0
Tetrahedron: a = 19; Density = 29; SurfaceArea = 625.2703415323647
Sphere: r = 6; Density = 16; SurfaceArea = 452.3893421169302
Parallelepiped: a = 17, b = 1, c = 30; Density = 16; SurfaceArea = 1114.0
Parallelepiped: a = 27, b = 19, c = 17; Density = 28; SurfaceArea = 2590.0
Sphere: r = 26; Density = 13; SurfaceArea = 8494.8665353068
Parallelepiped: a = 20, b = 28, c = 11; Density = 5; SurfaceArea = 2176.0
Tetrahedron: a = 6; Density = 30; SurfaceArea = 62.35382907247958
Tetrahedron: a = 21; Density = 4; SurfaceArea = 763.8344061378748
