Container stores 5000 shapes:
Parallelepiped: a = 4, b = 2, c = 22; Density = 10; SurfaceArea = 280.0
Sphere: r = 5; Density = 5; SurfaceArea = 314.1592653589793
Tetrahedron: a = 18; Density = 29; SurfaceArea = 561.1844616523163
Tetrahedron: a = 20; Density = 3; SurfaceArea = 692.8203230275509
Parallelepiped: a = 23, b = 22, c = 29; Density = 5; SurfaceArea = 3622.0
Tetrahedron: a = 19; Density = 12; SurfaceArea = 625.2703415323647
Parallelepiped: a = 7, b = 6, c = 30; Density = 4; SurfaceArea = 864.0
Parallelepiped: a = 15, b = 13, c = 17; Density = 23; SurfaceArea = 1342.0
Tetrahedron: a = 20; Density = 18; SurfaceArea = 692.8203230275509
Parallelepiped: a = 30, b = 2, c = 17; Density = 4; SurfaceArea = 1208.0
Tetrahedron: a = 2; Density = 22; SurfaceArea = 6.928203230275509
Tetrahedron: a = 25; Density = 28; SurfaceArea = 1082.5317547305483
Tetrahedron: a = 24; Density = 30; SurfaceArea = 997.6612651596732
Sphere: r = 12; Density = 18; SurfaceArea = 1809.5573684677208
Parallelepiped: a = 25, b = 10, c = 2; Density = 10; SurfaceArea = 640.0
Sphere: r = 28; Density = 23; SurfaceArea = 9852.03456165759
Sphere: r = 11; Density = 28; SurfaceArea = 1520.53084433746
Tetrahedron: a = 4; Density = 26; SurfaceArea = 27.712812921102035
Sphere: r = 3; Density = 23; SurfaceArea = 113.09733552923255
Tetrahedron: a = 3; Density = 9; SurfaceArea = 15.588457268119894
Tetrahedron: a = 20; Density = 9; SurfaceArea = 692.8203230275509
Parallelepiped: a = 2, b = 4, c = 3; Density = 12; SurfaceArea = 52.0
Parallelepiped: a = 2, b = 7, c = 28; Density = 13; SurfaceArea = 532.0
Parallelepiped: a = 24, b = 16, c = 17; Density = 24; SurfaceArea = 2128.0
Tetrahedron: a = 15; Density = 21; SurfaceArea = 389.71143170299734
Parallelepiped: a = 9, b = 17, c = 20; Density = 21; SurfaceArea = 1346.0
Parallelepiped: a = 14, b = 2, c = 25; Density = 25; SurfaceArea = 856.0
Tetrahedron: a = 16; Density = 8; SurfaceArea = 443.40500673763256
Sphere: r = 22; Density = 24; SurfaceArea = 6082.12337734984
Tetrahedron: a = 11; Density = 20; SurfaceArea = 209.57814771583415
Parallelepiped: a = 27, b = 29, c = 5; Density = 12; SurfaceArea = 2126.0
Parallelepiped: a = 12, b = 1, c = 26; Density = 11; SurfaceArea = 700.0
Parallelepiped: a = 4, b = 21, c = 4; Density = 7; SurfaceArea = 368.0
Tetrahedron: a = 2; Density = 25; SurfaceArea = 6.928203230275509
Parallelepiped: a = 24, b = 8, c = 20; Density = 24; SurfaceArea = 1664.0
Parallelepiped: a = 25, b = 14, c = 16; Density = 11; SurfaceArea = 1948.0
Sphere: r = 15; Density = 9; SurfaceArea = 2827.4333882308138
Parallelepiped: a = 6, b = 22, c = 4; Density = 19; SurfaceArea = 488.0
Parallelepiped: a = 8, b = 25, c = 27; Density = 4; SurfaceArea = 2182.0
Sphere: r = 24; Density = 8; SurfaceArea = 7238.229473870883
Parallelepiped: a = 10, b = 26, c = 13; Density = 18; SurfaceArea = 1456.0
Tetrahedron: a = 27; Density = 10; SurfaceArea = 1262.6650387177115
Parallelepiped: a = 7, b = 27, c = 1; Density = 18; SurfaceArea = 446.0
Sphere: r = 20; Density = 24; SurfaceArea = 5026.548245743669
Tetrahedron: a = 6; Density = 1; SurfaceArea = 62.35382907247958
Tetrahedron: a = 24; Density = 30; SurfaceArea = 997.6612651596732
Sphere: r = 7; Density = 10; SurfaceArea = 615.7521601035994
Sphere: r = 13; Density = 18; SurfaceArea = 2123.7166338267
Parallelepiped: a = 29, b = 13, c = 28; Density = 9; SurfaceArea = 3106.0
Sphere: r = 10; Density = 2; SurfaceArea = 1256.6370614359173
Tetrahedron: a = 9; Density = 12; SurfaceArea = 140.29611541307906
Parallelepiped: a = 21, b = 8, c = 21; Density = 2; SurfaceArea = 1554.0
Parallelepiped: a = 7, b = 18, c = 18; Density = 7; SurfaceArea = 1152.0
Parallelepiped: a = 25, b = 30, c = 12; Density = 11; SurfaceArea = 2820.0
Sphere: r = 10; Density = 23; SurfaceArea = 1256.6370614359173
Sphere: r = 10; Density = 2; SurfaceArea = 1256.6370614359173
Parallelepiped: a = 9, b = 20, c = 19; Density = 28; SurfaceArea = 1462.0
Parallelepiped: a = 13, b = 12, c = 22; Density = 25; SurfaceArea = 1412.0
Sphere: r = 17; Density = 5; SurfaceArea = 3631.681107549801
Sphere: r = 5; Density = 23; SurfaceArea = 314.1592653589793
Tetrahedron: a = 10; Density = 16; SurfaceArea = 173.20508075688772
Parallelepiped: a = 19, b = 11, c = 21; Density = 29; SurfaceArea = 1678.0
Sphere: r = 11; Density = 23; SurfaceArea = 1520.53084433746
Sphere: r = 18; Density = 16; SurfaceArea = 4071.5040790523717
Tetrahedron: a = 6; Density = 27; SurfaceArea = 62.35382907247958
Parallelepiped: a = 11, b = 25, c = 11; Density = 25; SurfaceArea = 1342.0
Tetrahedron: a = 15; Density = 7; SurfaceArea = 389.71143170299734
Parallelepiped: a = 19, b = 7, c = 15; Density = 28; SurfaceArea = 1046.0
Parallelepiped: a = 22, b = 26, c = 22; Density = 18; SurfaceArea = 3256.0
Sphere: r = 7; Density = 11; SurfaceArea = 615.7521601035994
Sphere: r = 20; Density = 8; SurfaceArea = 5026.548245743669
Tetrahedron: a = 4; Density = 26; SurfaceArea = 27.712812921102035
Parallelepiped: a = 24, b = 17, c = 6; Density = 11; SurfaceArea = 1308.0
Tetrahedron: a = 6; Density = 18; SurfaceArea = 62.35382907247958
Tetrahedron: a = 10; Density = 3; SurfaceArea = 173.20508075688772
Sphere: r = 1; Density = 12; SurfaceArea = 12.566370614359172
Parallelepiped: a = 22, b = 7, c = 21; Density = 25; SurfaceArea = 1526.0
Parallelepiped: a = 17, b = 18, c = 7; Density = 13; SurfaceArea = 1102.0
Tetrahedron: a = 27; Density = 1; SurfaceArea = 1262.6650387177115
Sphere: r = 1; Density = 7; SurfaceArea = 12.566370614359172
Tetrahedron: a = 18; Density = 25; SurfaceArea = 561.1844616523163
Sphere: r = 2; Density = 12; SurfaceArea = 50.26548245743669
Parallelepiped: a = 1, b = 20, c = 26; Density = 14; SurfaceArea = 1132.0
Tetrahedron: a = 15; Density = 21; SurfaceArea = 389.71143170299734
Parallelepiped: a = 5, b = 5, c = 29; Density = 12; SurfaceArea = 630.0
Sphere: r = 3; Density = 26; SurfaceArea = 113.09733552923255
Parallelepiped: a = 19, b = 11, c = 19; Density = 18; SurfaceArea = 1558.0
Sphere: r = 14; Density = 29; SurfaceArea = 2463.0086404143976
Tetrahedron: a = 13; Density = 14; SurfaceArea = 292.71658647914023
Parallelepiped: a = 5, b = 1, c = 27; Density = 2; SurfaceArea = 334.0
Sphere: r = 16; Density = 27; SurfaceArea = 3216.990877275948
Tetrahedron: a = 23; Density = 18; SurfaceArea = 916.2548772039361
Parallelepiped: a = 15, b = 13, c = 3; Density = 22; SurfaceArea = 558.0
Parallelepiped: a = 20, b = 21, c = 10; Density = 7; SurfaceArea = 1660.0
Sphere: r = 5; Density = 30; SurfaceArea = 314.1592653589793
Tetrahedron: a = 11; Density = 26; SurfaceArea = 209.57814771583415
Sphere: r = 22; Density = 12; SurfaceArea = 6082.12337734984
Sphere: r = 7; Density = 19; SurfaceArea = 615.7521601035994
Parallelepiped: a = 21, b = 25, c = 23; Density = 28; SurfaceArea = 3166.0
Parallelepiped: a = 23, b = 23, c = 26; Density = 11; SurfaceArea = 3450.0
Tetrahedron: a = 7; Density = 11; SurfaceArea = 84.87048957087498
Tetrahedron: a = 29; Density = 2; SurfaceArea = 1456.6547291654258
Tetrahedron: a = 4; Density = 23; SurfaceArea = 27.712812921102035
Parallelepiped: a = 15, b = 28, c = 1; Density = 8; SurfaceArea = 926.0
Tetrahedron: a = 12; Density = 26; SurfaceArea = 249.4153162899183
Parallelepiped: a = 30, b = 11, c = 30; Density = 16; SurfaceArea = 3120.0
Sphere: r = 28; Density = 5; SurfaceArea = 9852.03456165759
Sphere: r = 23; Density = 10; SurfaceArea = 6647.610054996002
Sphere: r = 10; Density = 23; SurfaceArea = 1256.6370614359173
Sphere: r = 19; Density = 21; SurfaceArea = 4536.459791783661
Tetrahedron: a = 10; Density = 1; SurfaceArea = 173.20508075688772
Parallelepiped: a = 27, b = 19, c = 25; Density = 24; SurfaceArea = 3326.0
Sphere: r = 1; Density = 3; SurfaceArea = 12.566370614359172
Tetrahedron: a = 27; Density = 14; SurfaceArea = 1262.6650387177115
Sphere: r = 2; Density = 16; SurfaceArea = 50.26548245743669
Tetrahedron: a = 9; Density = 3; SurfaceArea = 140.29611541307906
Parallelepiped: a = 7, b = 17, c = 9; Density = 7; SurfaceArea = 670.0
Sphere: r = 3; Density = 20; SurfaceArea = 113.09733552923255
Parallelepiped: a = 23, b = 18, c = 16; Density = 7; SurfaceArea = 2140.0
Parallelepiped: a = 17, b = 14, c = 6; Density = 17; SurfaceArea = 848.0
Parallelepiped: a = 17, b = 11, c = 1; Density = 30; SurfaceArea = 430.0
Sphere: r = 19; Density = 21; SurfaceArea = 4536.459791783661
Sphere: r = 22; Density = 19; SurfaceArea = 6082.12337734984
Parallelepiped: a = 11, b = 2, c = 30; Density = 7; SurfaceArea = 824.0
Sphere: r = 28; Density = 16; SurfaceArea = 9852.03456165759
Sphere: r = 27; Density = 11; SurfaceArea = 9160.884177867836
Parallelepiped: a = 6, b = 20, c = 10; Density = 8; SurfaceArea = 760.0
Sphere: r = 8; Density = 1; SurfaceArea = 804.247719318987
Parallelepiped: a = 20, b = 2, c = 19; Density = 16; SurfaceArea = 916.0
Parallelepiped: a = 22, b = 20, c = 25; Density = 18; SurfaceArea = 2980.0
Tetrahedron: a = 29; Density = 27; SurfaceArea = 1456.6547291654258
Parallelepiped: a = 9, b = 20, c = 6; Density = 7; SurfaceArea = 708.0
Parallelepiped: a = 27, b = 23, c = 5; Density = 11; SurfaceArea = 1742.0
Tetrahedron: a = 6; Density = 17; SurfaceArea = 62.35382907247958
Tetrahedron: a = 23; Density = 5; SurfaceArea = 916.2548772039361
Tetrahedron: a = 21; Density = 17; SurfaceArea = 763.8344061378748
Parallelepiped: a = 30, b = 4, c = 5; Density = 16; SurfaceArea = 580.0
Parallelepiped: a = 26, b = 28, c = 1; Density = 14; SurfaceArea = 1564.0
Sphere: r = 12; Density = 12; SurfaceArea = 1809.5573684677208
Parallelepiped: a = 18, b = 5, c = 23; Density = 25; SurfaceArea = 1238.0
Parallelepiped: a = 21, b = 22, c = 22; Density = 27; SurfaceArea = 2816.0
Sphere: r = 1; Density = 25; SurfaceArea = 12.566370614359172
Tetrahedron: a = 10; Density = 6; SurfaceArea = 173.20508075688772
Parallelepiped: a = 13, b = 11, c = 12; Density = 7; SurfaceArea = 862.0
Parallelepiped: a = 26, b = 20, c = 25; Density = 1; SurfaceArea = 3340.0
Tetrahedron: a = 6; Density = 7; SurfaceArea = 62.35382907247958
Parallelepiped: a = 2, b = 1, c = 11; Density = 30; SurfaceArea = 70.0
Parallelepiped: a = 16, b = 7, c = 6; Density = 26; SurfaceArea = 500.0
Parallelepiped: a = 1, b = 6, c = 26; Density = 22; SurfaceArea = 376.0
Parallelepiped: a = 6, b = 8, c = 16; Density = 3; SurfaceArea = 544.0
Parallelepiped: a = 3, b = 24, c = 3; Density = 21; SurfaceArea = 306.0
Tetrahedron: a = 30; Density = 15; SurfaceArea = 1558.8457268119894
Parallelepiped: a = 15, b = 22, c = 20; Density = 4; SurfaceArea = 2140.0
Sphere: r = 2; Density = 28; SurfaceArea = 50.26548245743669
Sphere: r = 17; Density = 24; SurfaceArea = 3631.681107549801
Sphere: r = 13; Density = 27; SurfaceArea = 2123.7166338267
Tetrahedron: a = 8; Density = 3; SurfaceArea = 110.85125168440814
Tetrahedron: a = 30; Density = 3; SurfaceArea = 1558.8457268119894
Sphere: r = 1; Density = 2; SurfaceArea = 12.566370614359172
Parallelepiped: a = 16, b = 10, c = 10; Density = 27; SurfaceArea = 840.0
Tetrahedron: a = 4; Density = 17; SurfaceArea = 27.712812921102035
Sphere: r = 30; Density = 20; SurfaceArea = 11309.733552923255
Parallelepiped: a = 30, b = 14, c = 15; Density = 6; SurfaceArea = 2160.0
Tetrahedron: a = 3; Density = 12; SurfaceArea = 15.588457268119894
Sphere: r = 8; Density = 25; SurfaceArea = 804.247719318987
Parallelepiped: a = 13, b = 13, c = 29; Density = 11; SurfaceArea = 1846.0
Tetrahedron: a = 26; Density = 25; SurfaceArea = 1170.866345916561
Parallelepiped: a = 2, b = 22, c = 7; Density = 19; SurfaceArea = 424.0
Parallelepiped: a = 4, b = 30, c = 16; Density = 15; SurfaceArea = 1328.0
Sphere: r = 13; Density = 16; SurfaceArea = 2123.7166338267
Sphere: r = 17; Density = 20; SurfaceArea = 3631.681107549801
Sphere: r = 12; Density = 4; SurfaceArea = 1809.5573684677208
Sphere: r = 8; Density = 22; SurfaceArea = 804.247719318987
Parallelepiped: a = 23, b = 2, c = 1; Density = 28; SurfaceArea = 142.0
Parallelepiped: a = 19, b = 21, c = 4; Density = 6; SurfaceArea = 1118.0
Sphere: r = 18; Density = 30; SurfaceArea = 4071.5040790523717
Sphere: r = 6; Density = 21; SurfaceArea = 452.3893421169302
Parallelepiped: a = 15, b = 6, c = 18; Density = 21; SurfaceArea = 936.0
Sphere: r = 25; Density = 7; SurfaceArea = 7853.981633974483
Tetrahedron: a = 24; Density = 27; SurfaceArea = 997.6612651596732
Parallelepiped: a = 30, b = 25, c = 3; Density = 22; SurfaceArea = 1830.0
Sphere: r = 8; Density = 23; SurfaceArea = 804.247719318987
Tetrahedron: a = 2; Density = 25; SurfaceArea = 6.928203230275509
Sphere: r = 27; Density = 25; SurfaceArea = 9160.884177867836
Tetrahedron: a = 23; Density = 14; SurfaceArea = 916.2548772039361
Parallelepiped: a = 19, b = 20, c = 1; Density = 16; SurfaceArea = 838.0
Tetrahedron: a = 9; Density = 27; SurfaceArea = 140.29611541307906
Sphere: r = 7; Density = 4; SurfaceArea = 615.7521601035994
Parallelepiped: a = 13, b = 5, c = 6; Density = 26; SurfaceArea = 346.0
Tetrahedron: a = 8; Density = 5; SurfaceArea = 110.85125168440814
Parallelepiped: a = 11, b = 28, c = 23; Density = 16; SurfaceArea = 2410.0
Tetrahedron: a = 6; Density = 20; SurfaceArea = 62.35382907247958
Parallelepiped: a = 17, b = 20, c = 10; Density = 12; SurfaceArea = 1420.0
Tetrahedron: a = 18; Density = 24; SurfaceArea = 561.1844616523163
Tetrahedron: a = 26; Density = 3; SurfaceArea = 1170.866345916561
Parallelepiped: a = 12, b = 24, c = 27; Density = 4; SurfaceArea = 2520.0
Parallelepiped: a = 6, b = 12, c = 3; Density = 13; SurfaceArea = 252.0
Parallelepiped: a = 6, b = 27, c = 2; Density = 25; SurfaceArea = 456.0
Tetrahedron: a = 28; Density = 12; SurfaceArea = 1357.9278331339997
Tetrahedron: a = 26; Density = 1; SurfaceArea = 1170.866345916561
Parallelepiped: a = 9, b = 20, c = 24; Density = 5; SurfaceArea = 1752.0
Tetrahedron: a = 6; Density = 23; SurfaceArea = 62.35382907247958
Sphere: r = 18; Density = 17; SurfaceArea = 4071.5040790523717
Tetrahedron: a = 16; Density = 2; SurfaceArea = 443.40500673763256
Tetrahedron: a = 12; Density = 30; SurfaceArea = 249.4153162899183
Parallelepiped: a = 18, b = 1, c = 18; Density = 13; SurfaceArea = 720.0
Tetrahedron: a = 6; Density = 12; SurfaceArea = 62.35382907247958
Parallelepiped: a = 4, b = 7, c = 7; Density = 10; SurfaceArea = 210.0
Parallelepiped: a = 18, b = 9, c = 4; Density = 17; SurfaceArea = 540.0
Tetrahedron: a = 13; Density = 21; SurfaceArea = 292.71658647914023
Sphere: r = 26; Density = 25; SurfaceArea = 8494.8665353068
Tetrahedron: a = 5; Density = 3; SurfaceArea = 43.30127018922193
Sphere: r = 23; Density = 23; SurfaceArea = 6647.610054996002
Sphere: r = 17; Density = 18; SurfaceArea = 3631.681107549801
Tetrahedron: a = 24; Density = 15; SurfaceArea = 997.6612651596732
Sphere: r = 20; Density = 23; SurfaceArea = 5026.548245743669
Tetrahedron: a = 5; Density = 10; SurfaceArea = 43.30127018922193
Tetrahedron: a = 20; Density = 10; SurfaceArea = 692.8203230275509
Sphere: r = 24; Density = 27; SurfaceArea = 7238.229473870883
Parallelepiped: a = 5, b = 3, c = 17; Density = 27; SurfaceArea = 302.0
Sphere: r = 29; Density = 30; SurfaceArea = 10568.317686676064
Parallelepiped: a = 6, b = 8, c = 26; Density = 9; SurfaceArea = 824.0
Tetrahedron: a = 4; Density = 16; SurfaceArea = 27.712812921102035
Sphere: r = 27; Density = 1; SurfaceArea = 9160.884177867836
Sphere: r = 24; Density = 14; SurfaceArea = 7238.229473870883
Parallelepiped: a = 4, b = 11, c = 11; Density = 25; SurfaceArea = 418.0
Parallelepiped: a = 29, b = 1, c = 27; Density = 24; SurfaceArea = 1678.0
Parallelepiped: a = 25, b = 9, c = 21; Density = 12; SurfaceArea = 1878.0
Parallelepiped: a = 17, b = 9, c = 22; Density = 16; SurfaceArea = 1450.0
Tetrahedron: a = 21; Density = 5; SurfaceArea = 763.8344061378748
Parallelepiped: a = 30, b = 1, c = 11; Density = 22; SurfaceArea = 742.0
Parallelepiped: a = 13, b = 27, c = 22; Density = 25; SurfaceArea = 2462.0
Parallelepiped: a = 1, b = 12, c = 21; Density = 28; SurfaceArea = 570.0
Sphere: r = 19; Density = 26; SurfaceArea = 4536.459791783661
Parallelepiped: a = 12, b = 21, c = 29; Density = 7; SurfaceArea = 2418.0
Tetrahedron: a = 7; Density = 27; SurfaceArea = 84.87048957087498
Parallelepiped: a = 22, b = 6, c = 19; Density = 14; SurfaceArea = 1328.0
Parallelepiped: a = 10, b = 23, c = 24; Density = 11; SurfaceArea = 2044.0
Parallelepiped: a = 2, b = 16, c = 11; Density = 27; SurfaceArea = 460.0
Parallelepiped: a = 22, b = 30, c = 29; Density = 11; SurfaceArea = 4336.0
Parallelepiped: a = 28, b = 6, c = 20; Density = 17; SurfaceArea = 1696.0
Sphere: r = 25; Density = 2; SurfaceArea = 7853.981633974483
Tetrahedron: a = 11; Density = 5; SurfaceArea = 209.57814771583415
Sphere: r = 14; Density = 24; SurfaceArea = 2463.0086404143976
Tetrahedron: a = 8; Density = 1; SurfaceArea = 110.85125168440814
Parallelepiped: a = 25, b = 18, c = 13; Density = 9; SurfaceArea = 2018.0
Sphere: r = 10; Density = 8; SurfaceArea = 1256.6370614359173
Tetrahedron: a = 6; Density = 5; SurfaceArea = 62.35382907247958
Tetrahedron: a = 1; Density = 17; SurfaceArea = 1.7320508075688772
Parallelepiped: a = 7, b = 2, c = 25; Density = 26; SurfaceArea = 478.0
Sphere: r = 9; Density = 18; SurfaceArea = 1017.8760197630929
Parallelepiped: a = 16, b = 12, c = 11; Density = 20; SurfaceArea = 1000.0
Sphere: r = 1; Density = 9; SurfaceArea = 12.566370614359172
Tetrahedron: a = 15; Density = 16; SurfaceArea = 389.71143170299734
Tetrahedron: a = 4; Density = 14; SurfaceArea = 27.712812921102035
Sphere: r = 8; Density = 8; SurfaceArea = 804.247719318987
Tetrahedron: a = 18; Density = 3; SurfaceArea = 561.1844616523163
Tetrahedron: a = 25; Density = 15; SurfaceArea = 1082.5317547305483
Parallelepiped: a = 20, b = 18, c = 25; Density = 20; SurfaceArea = 2620.0
Sphere: r = 23; Density = 26; SurfaceArea = 6647.610054996002
Parallelepiped: a = 17, b = 30, c = 11; Density = 15; SurfaceArea = 2054.0
Tetrahedron: a = 18; Density = 7; SurfaceArea = 561.1844616523163
Tetrahedron: a = 13; Density = 7; SurfaceArea = 292.71658647914023
Parallelepiped: a = 30, b = 14, c = 30; Density = 26; SurfaceArea = 3480.0
Sphere: r = 2; Density = 4; SurfaceArea = 50.26548245743669
Parallelepiped: a = 1, b = 7, c = 27; Density = 1; SurfaceArea = 446.0
Sphere: r = 8; Density = 26; SurfaceArea = 804.247719318987
Tetrahedron: a = 21; Density = 7; SurfaceArea = 763.8344061378748
Tetrahedron: a = 22; Density = 10; SurfaceArea = 838.3125908633366
Tetrahedron: a = 16; Density = 5; SurfaceArea = 443.40500673763256
Tetrahedron: a = 16; Density = 20; SurfaceArea = 443.40500673763256
Sphere: r = 7; Density = 25; SurfaceArea = 615.7521601035994
Tetrahedron: a = 7; Density = 22; SurfaceArea = 84.87048957087498
Tetrahedron: a = 28; Density = 6; SurfaceArea = 1357.9278331339997
Parallelepiped: a = 27, b = 5, c = 12; Density = 5; SurfaceArea = 1038.0
Sphere: r = 4; Density = 27; SurfaceArea = 201.06192982974676
Tetrahedron: a = 10; Density = 21; SurfaceArea = 173.20508075688772
Tetrahedron: a = 10; Density = 29; SurfaceArea = 173.20508075688772
